Name,Url,Authority,Started On,Finished On,License Number
Blockchain Basics,http://www.lynda.com/Data-Science-tutorials/Blockchain-Basics/574704-2.html,Lynda.com,Apr 2018,,
"""Architecting with Google Cloud Platform, a 6-course specialization by Google Cloud on Coursera. Specialization Certificate earned on September 14, 2018",https://www.coursera.org/account/accomplishments/specialization/certificate/3GX2TN5MAP6B,Google,,,
Machine Learning with TensorFlow on Google Cloud Platform Specialization,https://www.coursera.org/account/accomplishments/specialization/PEY2NRJX5W38,Coursera Course Certificates,Nov 2018,,PEY2NRJX5W38
Data Engineering on Google Cloud Platform Specialization,https://www.coursera.org/account/accomplishments/specialization/VL8ACQ38GATM,Google,Nov 2018,,VL8ACQ38GATM
Developing Applications with Google Cloud Platform Specialization,https://www.coursera.org/account/accomplishments/specialization/A3JW93YC2TT4,Coursera,Nov 2018,,A3JW93YC2TT4
    From Data to Insights with Google Cloud Platform Specialization,https://www.coursera.org/account/accomplishments/specialization/9NZHR4W9ZDLV,Coursera,Nov 2018,,    9NZHR4W9ZDLV
Advanced Machine Learning with TensorFlow on Google Cloud Platform Specialization,https://www.coursera.org/account/accomplishments/specialization/P765WX9U6F3C,Coursera,2018,,P765WX9U6F3C
Banish Your Inner Critic to Unleash Creativity,https://www.linkedin.com/learning/certificates/fbec5399df2a1ad760413c671ee37f70079c5c5a9c1c5dbb01b6a23ffb1ec2d2?trk=backfilled_certificate,LinkedIn,Jan 2020,,
Creativity Boot Camp 2: Creative Fuel,https://www.linkedin.com/learning/certificates/a7d4fbc1f3b253e542067bf2734b60e2623fcd7a4c609846234cd939ea04e6d2?trk=backfilled_certificate,LinkedIn,Jan 2020,,
IBM.What is Data Science ,https://www.coursera.org/account/accomplishments/verify/JLLHETBK4A4R?utm_product=course,IBM,Apr 2021,,JLLHETBK4A4R
Building Modern Python Applications on AWS,https://www.coursera.org/account/accomplishments/verify/W4Q2WQPUMMKH,Amazon,May 2021,,
Using Python for Automation,https://www.linkedin.com/learning/certificates/c9818a05948673111030d7cbd79c53b820a1e318815d6bd8457d9cc73b2d4af5,LinkedIn,Oct 2022,,
Build an Ethereum Blockchain App,https://www.linkedin.com/learning/certificates/c13a7313abd6cf6b47183f9076a513cfc29fccdccbbaeb404705ffdec8d0da93,LinkedIn,Oct 2022,,
Become a Blockchain Developer,https://www.linkedin.com/learning/certificates/15ed4eacf4e262d69377486f0967af47b820648036c54434464272289622c4a8,LinkedIn,Oct 2022,,
Master Python for Data Science,https://www.linkedin.com/learning/certificates/fceed57bc49330e425ce36c7bffe3dc9875df379c3873686e0e61fd4b9e52955,LinkedIn,Oct 2022,,
What Is Web3?,https://www.linkedin.com/learning/certificates/5a374de45e67881fda64bc8edaa8073d2b5e9732de2860486315ab212ba8eb49,LinkedIn,Oct 2022,,
Become a Full-Stack Web Developer,https://www.linkedin.com/learning/certificates/0b742b82232fd7c4f84b477e9ffe301a9cd6b920d8eaa323531a77aa298ca662,LinkedIn,Oct 2022,,
Become a RESTful API Developer,https://www.linkedin.com/learning/certificates/46c20a3ca7a5acf8d12f478f85b17ebe3d7a209a0fd8ff964e8d7f6a8e791f71,LinkedIn,Oct 2022,,
Python Essential Training,https://www.linkedin.com/learning/certificates/3a7f856dd55efa272e28cadd0e96e88eb4c058a06c8c92294e58d6c8638ab222,LinkedIn,Oct 2022,,
Become a Python Developer,https://www.linkedin.com/learning/certificates/a1f566cb7fd87a77e9610419a87f9254781e32b4260e870ddfc65baccc476912,LinkedIn,Nov 2022,,
